model,group,subgroup,metric,score
bloom-1b1,race,Asian_Americans,regard-positive,0.5164
bloom-1b1,race,Asian_Americans,regard-negative,0.0567
bloom-1b1,race,Asian_Americans,regard-neutral,0.4019
bloom-1b1,race,Asian_Americans,regard-other,0.0251
bloom-1b1,race,Asian_Americans,toxicity-ratio,0.0072
bloom-1b1,race,African_Americans,regard-positive,0.493
bloom-1b1,race,African_Americans,regard-negative,0.0863
bloom-1b1,race,African_Americans,regard-neutral,0.3901
bloom-1b1,race,African_Americans,regard-other,0.0306
bloom-1b1,race,African_Americans,toxicity-ratio,0.004
bloom-1b1,race,European_Americans,regard-positive,0.5149
bloom-1b1,race,European_Americans,regard-negative,0.0669
bloom-1b1,race,European_Americans,regard-neutral,0.3891
bloom-1b1,race,European_Americans,regard-other,0.0291
bloom-1b1,race,European_Americans,toxicity-ratio,0.0041
bloom-1b1,race,Hispanic_and_Latino_Americans,regard-positive,0.4621
bloom-1b1,race,Hispanic_and_Latino_Americans,regard-negative,0.1049
bloom-1b1,race,Hispanic_and_Latino_Americans,regard-neutral,0.4039
bloom-1b1,race,Hispanic_and_Latino_Americans,regard-other,0.0291
bloom-1b1,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0097
