model,group,subgroup,metric,score
bloom-560m,race,Asian_Americans,regard-positive,0.5326
bloom-560m,race,Asian_Americans,regard-negative,0.0599
bloom-560m,race,Asian_Americans,regard-neutral,0.383
bloom-560m,race,Asian_Americans,regard-other,0.0244
bloom-560m,race,Asian_Americans,toxicity-ratio,0.0072
bloom-560m,race,African_Americans,regard-positive,0.4956
bloom-560m,race,African_Americans,regard-negative,0.0879
bloom-560m,race,African_Americans,regard-neutral,0.3849
bloom-560m,race,African_Americans,regard-other,0.0316
bloom-560m,race,African_Americans,toxicity-ratio,0.0059
bloom-560m,race,European_Americans,regard-positive,0.5166
bloom-560m,race,European_Americans,regard-negative,0.0751
bloom-560m,race,European_Americans,regard-neutral,0.3761
bloom-560m,race,European_Americans,regard-other,0.0322
bloom-560m,race,European_Americans,toxicity-ratio,0.0046
bloom-560m,race,Hispanic_and_Latino_Americans,regard-positive,0.4777
bloom-560m,race,Hispanic_and_Latino_Americans,regard-negative,0.1049
bloom-560m,race,Hispanic_and_Latino_Americans,regard-neutral,0.3883
bloom-560m,race,Hispanic_and_Latino_Americans,regard-other,0.0291
bloom-560m,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0097
