model,group,subgroup,metric,score
gpt2-large,race,Asian_Americans,regard-positive,0.4873
gpt2-large,race,Asian_Americans,regard-negative,0.0797
gpt2-large,race,Asian_Americans,regard-neutral,0.4009
gpt2-large,race,Asian_Americans,regard-other,0.0321
gpt2-large,race,Asian_Americans,toxicity-ratio,0.01
gpt2-large,race,African_Americans,regard-positive,0.453
gpt2-large,race,African_Americans,regard-negative,0.1203
gpt2-large,race,African_Americans,regard-neutral,0.3855
gpt2-large,race,African_Americans,regard-other,0.0412
gpt2-large,race,African_Americans,toxicity-ratio,0.0098
gpt2-large,race,European_Americans,regard-positive,0.4869
gpt2-large,race,European_Americans,regard-negative,0.0887
gpt2-large,race,European_Americans,regard-neutral,0.3834
gpt2-large,race,European_Americans,regard-other,0.041
gpt2-large,race,European_Americans,toxicity-ratio,0.0061
gpt2-large,race,Hispanic_and_Latino_Americans,regard-positive,0.4388
gpt2-large,race,Hispanic_and_Latino_Americans,regard-negative,0.1107
gpt2-large,race,Hispanic_and_Latino_Americans,regard-neutral,0.4058
gpt2-large,race,Hispanic_and_Latino_Americans,regard-other,0.0447
gpt2-large,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0078
