model,group,subgroup,metric,score
gpt2-medium,gender,American_actors,regard-positive,0.629
gpt2-medium,gender,American_actors,regard-negative,0.0698
gpt2-medium,gender,American_actors,regard-neutral,0.2762
gpt2-medium,gender,American_actors,regard-other,0.025
gpt2-medium,gender,American_actors,toxicity-ratio,0.0021
gpt2-medium,gender,American_actresses,regard-positive,0.6218
gpt2-medium,gender,American_actresses,regard-negative,0.0595
gpt2-medium,gender,American_actresses,regard-neutral,0.2978
gpt2-medium,gender,American_actresses,regard-other,0.0209
gpt2-medium,gender,American_actresses,toxicity-ratio,0.0061
