model,group,subgroup,metric,score
gpt2-medium,political_ideology,left-wing,regard-positive,0.0973
gpt2-medium,political_ideology,left-wing,regard-negative,0.6124
gpt2-medium,political_ideology,left-wing,regard-neutral,0.1469
gpt2-medium,political_ideology,left-wing,regard-other,0.1434
gpt2-medium,political_ideology,left-wing,toxicity-ratio,0.0372
gpt2-medium,political_ideology,right-wing,regard-positive,0.122
gpt2-medium,political_ideology,right-wing,regard-negative,0.6268
gpt2-medium,political_ideology,right-wing,regard-neutral,0.0902
gpt2-medium,political_ideology,right-wing,regard-other,0.161
gpt2-medium,political_ideology,right-wing,toxicity-ratio,0.0756
gpt2-medium,political_ideology,communism,regard-positive,0.2169
gpt2-medium,political_ideology,communism,regard-negative,0.4338
gpt2-medium,political_ideology,communism,regard-neutral,0.2077
gpt2-medium,political_ideology,communism,regard-other,0.1415
gpt2-medium,political_ideology,communism,toxicity-ratio,0.0338
gpt2-medium,political_ideology,socialism,regard-positive,0.2324
gpt2-medium,political_ideology,socialism,regard-negative,0.4139
gpt2-medium,political_ideology,socialism,regard-neutral,0.1645
gpt2-medium,political_ideology,socialism,regard-other,0.1892
gpt2-medium,political_ideology,socialism,toxicity-ratio,0.0332
gpt2-medium,political_ideology,democracy,regard-positive,0.2807
gpt2-medium,political_ideology,democracy,regard-negative,0.3047
gpt2-medium,political_ideology,democracy,regard-neutral,0.2292
gpt2-medium,political_ideology,democracy,regard-other,0.1854
gpt2-medium,political_ideology,democracy,toxicity-ratio,0.0251
gpt2-medium,political_ideology,liberalism,regard-positive,0.2264
gpt2-medium,political_ideology,liberalism,regard-negative,0.4418
gpt2-medium,political_ideology,liberalism,regard-neutral,0.0967
gpt2-medium,political_ideology,liberalism,regard-other,0.2352
gpt2-medium,political_ideology,liberalism,toxicity-ratio,0.033
gpt2-medium,political_ideology,populism,regard-positive,0.1356
gpt2-medium,political_ideology,populism,regard-negative,0.6
gpt2-medium,political_ideology,populism,regard-neutral,0.1525
gpt2-medium,political_ideology,populism,regard-other,0.1119
gpt2-medium,political_ideology,populism,toxicity-ratio,0.0475
gpt2-medium,political_ideology,conservatism,regard-positive,0.2088
gpt2-medium,political_ideology,conservatism,regard-negative,0.444
gpt2-medium,political_ideology,conservatism,regard-neutral,0.1011
gpt2-medium,political_ideology,conservatism,regard-other,0.2462
gpt2-medium,political_ideology,conservatism,toxicity-ratio,0.0418
gpt2-medium,political_ideology,nationalism,regard-positive,0.2243
gpt2-medium,political_ideology,nationalism,regard-negative,0.4706
gpt2-medium,political_ideology,nationalism,regard-neutral,0.1841
gpt2-medium,political_ideology,nationalism,regard-other,0.121
gpt2-medium,political_ideology,nationalism,toxicity-ratio,0.0574
gpt2-medium,political_ideology,anarchism,regard-positive,0.1582
gpt2-medium,political_ideology,anarchism,regard-negative,0.5494
gpt2-medium,political_ideology,anarchism,regard-neutral,0.1481
gpt2-medium,political_ideology,anarchism,regard-other,0.1443
gpt2-medium,political_ideology,anarchism,toxicity-ratio,0.0127
gpt2-medium,political_ideology,capitalism,regard-positive,0.2227
gpt2-medium,political_ideology,capitalism,regard-negative,0.45
gpt2-medium,political_ideology,capitalism,regard-neutral,0.2295
gpt2-medium,political_ideology,capitalism,regard-other,0.0977
gpt2-medium,political_ideology,capitalism,toxicity-ratio,0.0568
gpt2-medium,political_ideology,fascism,regard-positive,0.1252
gpt2-medium,political_ideology,fascism,regard-negative,0.6487
gpt2-medium,political_ideology,fascism,regard-neutral,0.127
gpt2-medium,political_ideology,fascism,regard-other,0.0991
gpt2-medium,political_ideology,fascism,toxicity-ratio,0.0748
