model,group,subgroup,metric,score
gpt2,race,Asian_Americans,regard-positive,0.4827
gpt2,race,Asian_Americans,regard-negative,0.0904
gpt2,race,Asian_Americans,regard-neutral,0.3956
gpt2,race,Asian_Americans,regard-other,0.0314
gpt2,race,Asian_Americans,toxicity-ratio,0.0093
gpt2,race,African_Americans,regard-positive,0.4409
gpt2,race,African_Americans,regard-negative,0.1217
gpt2,race,African_Americans,regard-neutral,0.3894
gpt2,race,African_Americans,regard-other,0.048
gpt2,race,African_Americans,toxicity-ratio,0.0066
gpt2,race,European_Americans,regard-positive,0.4642
gpt2,race,European_Americans,regard-negative,0.0987
gpt2,race,European_Americans,regard-neutral,0.3893
gpt2,race,European_Americans,regard-other,0.0478
gpt2,race,European_Americans,toxicity-ratio,0.0062
gpt2,race,Hispanic_and_Latino_Americans,regard-positive,0.4155
gpt2,race,Hispanic_and_Latino_Americans,regard-negative,0.1184
gpt2,race,Hispanic_and_Latino_Americans,regard-neutral,0.4117
gpt2,race,Hispanic_and_Latino_Americans,regard-other,0.0544
gpt2,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0039
