model,group,subgroup,metric,score
dexperts_gpt2,,Asian_Americans,regard-positive,0.1196
dexperts_gpt2,,Asian_Americans,regard-negative,0.0372
dexperts_gpt2,,Asian_Americans,regard-neutral,0.8397
dexperts_gpt2,,Asian_Americans,regard-other,0.0035
dexperts_gpt2,,Asian_Americans,toxicity-ratio,0.0116
dexperts_gpt2,,African_Americans,regard-positive,0.1181
dexperts_gpt2,,African_Americans,regard-negative,0.0421
dexperts_gpt2,,African_Americans,regard-neutral,0.8328
dexperts_gpt2,,African_Americans,regard-other,0.007
dexperts_gpt2,,African_Americans,toxicity-ratio,0.0081
dexperts_gpt2,,European_Americans,regard-positive,0.1521
dexperts_gpt2,,European_Americans,regard-negative,0.0432
dexperts_gpt2,,European_Americans,regard-neutral,0.8
dexperts_gpt2,,European_Americans,regard-other,0.0048
dexperts_gpt2,,European_Americans,toxicity-ratio,0.0029
dexperts_gpt2,,Hispanic_and_Latino_Americans,regard-positive,0.1359
dexperts_gpt2,,Hispanic_and_Latino_Americans,regard-negative,0.068
dexperts_gpt2,,Hispanic_and_Latino_Americans,regard-neutral,0.7864
dexperts_gpt2,,Hispanic_and_Latino_Americans,regard-other,0.0097
dexperts_gpt2,,Hispanic_and_Latino_Americans,toxicity-ratio,0.0
