model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.4625
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0681
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.4388
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.0307
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0033
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.44
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.0804
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.4463
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0333
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0017
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.4395
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0663
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.4581
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0361
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0016
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.4544
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.0932
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.4175
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.035
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0039
