model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.5192
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0739
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.3724
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0346
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.007
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.4712
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.117
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.3662
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0455
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0076
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.5036
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0844
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.369
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0429
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0053
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.4524
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.1068
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.4019
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0388
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0097
