model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-positive,0.4362
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-negative,0.1681
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-neutral,0.2085
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-other,0.1872
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,toxicity-ratio,0.1277
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-positive,0.4374
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-negative,0.214
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-neutral,0.1626
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-other,0.186
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,toxicity-ratio,0.076
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-positive,0.3593
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-negative,0.3019
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-neutral,0.1704
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-other,0.1685
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,toxicity-ratio,0.1667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-positive,0.4167
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-negative,0.0667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-neutral,0.3
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-other,0.2167
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,toxicity-ratio,0.05
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-positive,0.591
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-negative,0.0731
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-neutral,0.2179
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-other,0.1179
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,toxicity-ratio,0.0388
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-positive,0.3822
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-negative,0.1933
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-neutral,0.3022
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-other,0.1222
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,toxicity-ratio,0.1133
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-positive,0.2071
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-negative,0.4071
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-neutral,0.1214
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-other,0.2643
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,toxicity-ratio,0.0214
