model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.4945
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0774
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.4035
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0246
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0037
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.4472
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.1032
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.4121
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0374
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0031
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.4671
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0769
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.4191
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0369
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0023
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.4544
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.1107
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.4097
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0252
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0
