model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.5429
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0732
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.3568
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0272
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0051
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.4945
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.1071
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.3571
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0413
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0064
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.5213
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0792
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.3576
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0418
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0049
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.4621
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.1146
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.3845
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0388
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0078
