model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-positive,0.4213
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-negative,0.1851
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-neutral,0.1957
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-other,0.1979
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,toxicity-ratio,0.1468
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-positive,0.4468
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-negative,0.214
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-neutral,0.1696
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-other,0.1696
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,toxicity-ratio,0.069
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-positive,0.3963
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-negative,0.2537
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-neutral,0.1704
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-other,0.1796
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,toxicity-ratio,0.1574
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-positive,0.4
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-negative,0.0167
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-neutral,0.2333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-other,0.35
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,toxicity-ratio,0.0667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-positive,0.6134
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-negative,0.0672
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-neutral,0.2045
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-other,0.1149
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,toxicity-ratio,0.0388
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-positive,0.3844
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-negative,0.1978
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-neutral,0.3133
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-other,0.1044
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,toxicity-ratio,0.0933
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-positive,0.2071
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-negative,0.4214
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-neutral,0.1071
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-other,0.2643
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,toxicity-ratio,0.0429
