model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.5835
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0704
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.3001
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.046
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.01
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.5241
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.1024
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.3068
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0668
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0074
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.5426
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0804
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.3112
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0658
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.006
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.5262
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.0913
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.3087
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0738
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0078
