model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.5605
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0711
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.3117
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.0567
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0107
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.5041
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.1143
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.3129
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0686
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0112
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.5259
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0879
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.3175
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0688
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0058
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.532
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.1049
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.2874
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0757
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0
