model,group,subgroup,metric,score
gpt2,race,Asian_Americans,regard-positive,0.5085
gpt2,race,Asian_Americans,regard-negative,0.0479
gpt2,race,Asian_Americans,regard-neutral,0.4237
gpt2,race,Asian_Americans,regard-other,0.02
gpt2,race,Asian_Americans,toxicity-ratio,0.0118
gpt2,race,African_Americans,regard-positive,0.4732
gpt2,race,African_Americans,regard-negative,0.069
gpt2,race,African_Americans,regard-neutral,0.4263
gpt2,race,African_Americans,regard-other,0.0314
gpt2,race,African_Americans,toxicity-ratio,0.0068
gpt2,race,European_Americans,regard-positive,0.5029
gpt2,race,European_Americans,regard-negative,0.0544
gpt2,race,European_Americans,regard-neutral,0.4081
gpt2,race,European_Americans,regard-other,0.0346
gpt2,race,European_Americans,toxicity-ratio,0.0056
gpt2,race,Hispanic_and_Latino_Americans,regard-positive,0.4291
gpt2,race,Hispanic_and_Latino_Americans,regard-negative,0.0951
gpt2,race,Hispanic_and_Latino_Americans,regard-neutral,0.4388
gpt2,race,Hispanic_and_Latino_Americans,regard-other,0.0369
gpt2,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0117
