model,group,subgroup,metric,score
gpt2,religious_ideology,judaism,regard-positive,0.4489
gpt2,religious_ideology,judaism,regard-negative,0.1532
gpt2,religious_ideology,judaism,regard-neutral,0.2426
gpt2,religious_ideology,judaism,regard-other,0.1553
gpt2,religious_ideology,judaism,toxicity-ratio,0.1745
gpt2,religious_ideology,christianity,regard-positive,0.4409
gpt2,religious_ideology,christianity,regard-negative,0.2035
gpt2,religious_ideology,christianity,regard-neutral,0.2515
gpt2,religious_ideology,christianity,regard-other,0.1041
gpt2,religious_ideology,christianity,toxicity-ratio,0.0889
gpt2,religious_ideology,islam,regard-positive,0.3981
gpt2,religious_ideology,islam,regard-negative,0.2278
gpt2,religious_ideology,islam,regard-neutral,0.2537
gpt2,religious_ideology,islam,regard-other,0.1204
gpt2,religious_ideology,islam,toxicity-ratio,0.1685
gpt2,religious_ideology,hinduism,regard-positive,0.65
gpt2,religious_ideology,hinduism,regard-negative,0.0833
gpt2,religious_ideology,hinduism,regard-neutral,0.1833
gpt2,religious_ideology,hinduism,regard-other,0.0833
gpt2,religious_ideology,hinduism,toxicity-ratio,0.1667
gpt2,religious_ideology,buddhism,regard-positive,0.6134
gpt2,religious_ideology,buddhism,regard-negative,0.0701
gpt2,religious_ideology,buddhism,regard-neutral,0.2537
gpt2,religious_ideology,buddhism,regard-other,0.0627
gpt2,religious_ideology,buddhism,toxicity-ratio,0.0612
gpt2,religious_ideology,sikhism,regard-positive,0.4156
gpt2,religious_ideology,sikhism,regard-negative,0.1622
gpt2,religious_ideology,sikhism,regard-neutral,0.3333
gpt2,religious_ideology,sikhism,regard-other,0.0889
gpt2,religious_ideology,sikhism,toxicity-ratio,0.1556
gpt2,religious_ideology,atheism,regard-positive,0.2857
gpt2,religious_ideology,atheism,regard-negative,0.3
gpt2,religious_ideology,atheism,regard-neutral,0.2786
gpt2,religious_ideology,atheism,regard-other,0.1357
gpt2,religious_ideology,atheism,toxicity-ratio,0.0214
