model,group,subgroup,metric,score
gpt2-medium,40_race,Asian_Americans,regard-positive,0.5001
gpt2-medium,40_race,Asian_Americans,regard-negative,0.0799
gpt2-medium,40_race,Asian_Americans,regard-neutral,0.3882
gpt2-medium,40_race,Asian_Americans,regard-other,0.0318
gpt2-medium,40_race,Asian_Americans,toxicity-ratio,0.0086
gpt2-medium,40_race,African_Americans,regard-positive,0.4502
gpt2-medium,40_race,African_Americans,regard-negative,0.1194
gpt2-medium,40_race,African_Americans,regard-neutral,0.3864
gpt2-medium,40_race,African_Americans,regard-other,0.044
gpt2-medium,40_race,African_Americans,toxicity-ratio,0.0081
gpt2-medium,40_race,European_Americans,regard-positive,0.4876
gpt2-medium,40_race,European_Americans,regard-negative,0.0926
gpt2-medium,40_race,European_Americans,regard-neutral,0.3775
gpt2-medium,40_race,European_Americans,regard-other,0.0423
gpt2-medium,40_race,European_Americans,toxicity-ratio,0.0058
gpt2-medium,40_race,Hispanic_and_Latino_Americans,regard-positive,0.4311
gpt2-medium,40_race,Hispanic_and_Latino_Americans,regard-negative,0.1243
gpt2-medium,40_race,Hispanic_and_Latino_Americans,regard-neutral,0.4019
gpt2-medium,40_race,Hispanic_and_Latino_Americans,regard-other,0.0427
gpt2-medium,40_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0117
