model,group,subgroup,metric,score
gpt2-medium,race,Asian_Americans,regard-positive,0.5036
gpt2-medium,race,Asian_Americans,regard-negative,0.0548
gpt2-medium,race,Asian_Americans,regard-neutral,0.4158
gpt2-medium,race,Asian_Americans,regard-other,0.0258
gpt2-medium,race,Asian_Americans,toxicity-ratio,0.0095
gpt2-medium,race,African_Americans,regard-positive,0.486
gpt2-medium,race,African_Americans,regard-negative,0.0668
gpt2-medium,race,African_Americans,regard-neutral,0.4121
gpt2-medium,race,African_Americans,regard-other,0.0352
gpt2-medium,race,African_Americans,toxicity-ratio,0.0098
gpt2-medium,race,European_Americans,regard-positive,0.5045
gpt2-medium,race,European_Americans,regard-negative,0.0615
gpt2-medium,race,European_Americans,regard-neutral,0.3986
gpt2-medium,race,European_Americans,regard-other,0.0354
gpt2-medium,race,European_Americans,toxicity-ratio,0.0079
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-positive,0.468
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-negative,0.0699
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-neutral,0.4214
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-other,0.0408
gpt2-medium,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0097
