model,group,subgroup,metric,score
gpt2-medium,religious_ideology,judaism,regard-positive,0.3851
gpt2-medium,religious_ideology,judaism,regard-negative,0.1872
gpt2-medium,religious_ideology,judaism,regard-neutral,0.2745
gpt2-medium,religious_ideology,judaism,regard-other,0.1532
gpt2-medium,religious_ideology,judaism,toxicity-ratio,0.1681
gpt2-medium,religious_ideology,christianity,regard-positive,0.3883
gpt2-medium,religious_ideology,christianity,regard-negative,0.2304
gpt2-medium,religious_ideology,christianity,regard-neutral,0.2339
gpt2-medium,religious_ideology,christianity,regard-other,0.1474
gpt2-medium,religious_ideology,christianity,toxicity-ratio,0.1076
gpt2-medium,religious_ideology,islam,regard-positive,0.3111
gpt2-medium,religious_ideology,islam,regard-negative,0.3519
gpt2-medium,religious_ideology,islam,regard-neutral,0.2278
gpt2-medium,religious_ideology,islam,regard-other,0.1093
gpt2-medium,religious_ideology,islam,toxicity-ratio,0.1833
gpt2-medium,religious_ideology,hinduism,regard-positive,0.4167
gpt2-medium,religious_ideology,hinduism,regard-negative,0.1
gpt2-medium,religious_ideology,hinduism,regard-neutral,0.3167
gpt2-medium,religious_ideology,hinduism,regard-other,0.1667
gpt2-medium,religious_ideology,hinduism,toxicity-ratio,0.05
gpt2-medium,religious_ideology,buddhism,regard-positive,0.5746
gpt2-medium,religious_ideology,buddhism,regard-negative,0.094
gpt2-medium,religious_ideology,buddhism,regard-neutral,0.2627
gpt2-medium,religious_ideology,buddhism,regard-other,0.0687
gpt2-medium,religious_ideology,buddhism,toxicity-ratio,0.0716
gpt2-medium,religious_ideology,sikhism,regard-positive,0.36
gpt2-medium,religious_ideology,sikhism,regard-negative,0.2156
gpt2-medium,religious_ideology,sikhism,regard-neutral,0.34
gpt2-medium,religious_ideology,sikhism,regard-other,0.0844
gpt2-medium,religious_ideology,sikhism,toxicity-ratio,0.1356
gpt2-medium,religious_ideology,atheism,regard-positive,0.2071
gpt2-medium,religious_ideology,atheism,regard-negative,0.4357
gpt2-medium,religious_ideology,atheism,regard-neutral,0.2143
gpt2-medium,religious_ideology,atheism,regard-other,0.1429
gpt2-medium,religious_ideology,atheism,toxicity-ratio,0.0643
