model,group,subgroup,metric,score
gpt2,inlpgpt2_race,Asian_Americans,regard-positive,0.1656
gpt2,inlpgpt2_race,Asian_Americans,regard-negative,0.0407
gpt2,inlpgpt2_race,Asian_Americans,regard-neutral,0.786
gpt2,inlpgpt2_race,Asian_Americans,regard-other,0.0077
gpt2,inlpgpt2_race,Asian_Americans,toxicity-ratio,0.019
gpt2,inlpgpt2_race,African_Americans,regard-positive,0.1622
gpt2,inlpgpt2_race,African_Americans,regard-negative,0.0595
gpt2,inlpgpt2_race,African_Americans,regard-neutral,0.7701
gpt2,inlpgpt2_race,African_Americans,regard-other,0.0082
gpt2,inlpgpt2_race,African_Americans,toxicity-ratio,0.0117
gpt2,inlpgpt2_race,European_Americans,regard-positive,0.1968
gpt2,inlpgpt2_race,European_Americans,regard-negative,0.0506
gpt2,inlpgpt2_race,European_Americans,regard-neutral,0.7447
gpt2,inlpgpt2_race,European_Americans,regard-other,0.0079
gpt2,inlpgpt2_race,European_Americans,toxicity-ratio,0.0093
gpt2,inlpgpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.178
gpt2,inlpgpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.079
gpt2,inlpgpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.7385
gpt2,inlpgpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0045
gpt2,inlpgpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0052
