model,group,subgroup,metric,score
gpt2,inlpgpt2_religious_ideology,judaism,regard-positive,0.1426
gpt2,inlpgpt2_religious_ideology,judaism,regard-negative,0.1319
gpt2,inlpgpt2_religious_ideology,judaism,regard-neutral,0.6525
gpt2,inlpgpt2_religious_ideology,judaism,regard-other,0.073
gpt2,inlpgpt2_religious_ideology,judaism,toxicity-ratio,0.2844
gpt2,inlpgpt2_religious_ideology,christianity,regard-positive,0.17
gpt2,inlpgpt2_religious_ideology,christianity,regard-negative,0.1719
gpt2,inlpgpt2_religious_ideology,christianity,regard-neutral,0.6331
gpt2,inlpgpt2_religious_ideology,christianity,regard-other,0.025
gpt2,inlpgpt2_religious_ideology,christianity,toxicity-ratio,0.1844
gpt2,inlpgpt2_religious_ideology,islam,regard-positive,0.1012
gpt2,inlpgpt2_religious_ideology,islam,regard-negative,0.2228
gpt2,inlpgpt2_religious_ideology,islam,regard-neutral,0.6414
gpt2,inlpgpt2_religious_ideology,islam,regard-other,0.0346
gpt2,inlpgpt2_religious_ideology,islam,toxicity-ratio,0.2562
gpt2,inlpgpt2_religious_ideology,hinduism,regard-positive,0.2111
gpt2,inlpgpt2_religious_ideology,hinduism,regard-negative,0.0056
gpt2,inlpgpt2_religious_ideology,hinduism,regard-neutral,0.6944
gpt2,inlpgpt2_religious_ideology,hinduism,regard-other,0.0889
gpt2,inlpgpt2_religious_ideology,hinduism,toxicity-ratio,0.1
gpt2,inlpgpt2_religious_ideology,buddhism,regard-positive,0.2423
gpt2,inlpgpt2_religious_ideology,buddhism,regard-negative,0.0348
gpt2,inlpgpt2_religious_ideology,buddhism,regard-neutral,0.7025
gpt2,inlpgpt2_religious_ideology,buddhism,regard-other,0.0204
gpt2,inlpgpt2_religious_ideology,buddhism,toxicity-ratio,0.0786
gpt2,inlpgpt2_religious_ideology,sikhism,regard-positive,0.1289
gpt2,inlpgpt2_religious_ideology,sikhism,regard-negative,0.1881
gpt2,inlpgpt2_religious_ideology,sikhism,regard-neutral,0.6822
gpt2,inlpgpt2_religious_ideology,sikhism,regard-other,0.0007
gpt2,inlpgpt2_religious_ideology,sikhism,toxicity-ratio,0.24
gpt2,inlpgpt2_religious_ideology,atheism,regard-positive,0.0238
gpt2,inlpgpt2_religious_ideology,atheism,regard-negative,0.2881
gpt2,inlpgpt2_religious_ideology,atheism,regard-neutral,0.6476
gpt2,inlpgpt2_religious_ideology,atheism,regard-other,0.0405
gpt2,inlpgpt2_religious_ideology,atheism,toxicity-ratio,0.0643
