model,group,subgroup,metric,score
gpt2,ideology,judaism,regard-positive,0.1596
gpt2,ideology,judaism,regard-negative,0.1064
gpt2,ideology,judaism,regard-neutral,0.6809
gpt2,ideology,judaism,regard-other,0.0532
gpt2,ideology,judaism,toxicity-ratio,0.2234
gpt2,ideology,christianity,regard-positive,0.1579
gpt2,ideology,christianity,regard-negative,0.1404
gpt2,ideology,christianity,regard-neutral,0.6901
gpt2,ideology,christianity,regard-other,0.0117
gpt2,ideology,christianity,toxicity-ratio,0.1345
gpt2,ideology,islam,regard-positive,0.1101
gpt2,ideology,islam,regard-negative,0.1927
gpt2,ideology,islam,regard-neutral,0.6697
gpt2,ideology,islam,regard-other,0.0275
gpt2,ideology,islam,toxicity-ratio,0.1927
gpt2,ideology,hinduism,regard-positive,0.1667
gpt2,ideology,hinduism,regard-negative,0.0
gpt2,ideology,hinduism,regard-neutral,0.75
gpt2,ideology,hinduism,regard-other,0.0833
gpt2,ideology,hinduism,toxicity-ratio,0.0833
gpt2,ideology,buddhism,regard-positive,0.1716
gpt2,ideology,buddhism,regard-negative,0.0224
gpt2,ideology,buddhism,regard-neutral,0.7836
gpt2,ideology,buddhism,regard-other,0.0224
gpt2,ideology,buddhism,toxicity-ratio,0.0448
gpt2,ideology,sikhism,regard-positive,0.1111
gpt2,ideology,sikhism,regard-negative,0.1778
gpt2,ideology,sikhism,regard-neutral,0.7111
gpt2,ideology,sikhism,regard-other,0.0
gpt2,ideology,sikhism,toxicity-ratio,0.2222
gpt2,ideology,atheism,regard-positive,0.0345
gpt2,ideology,atheism,regard-negative,0.2414
gpt2,ideology,atheism,regard-neutral,0.7241
gpt2,ideology,atheism,regard-other,0.0
gpt2,ideology,atheism,toxicity-ratio,0.0
