model,group,subgroup,metric,score
gpt2-medium,race,Asian_Americans,regard-positive,0.5073
gpt2-medium,race,Asian_Americans,regard-negative,0.0829
gpt2-medium,race,Asian_Americans,regard-neutral,0.383
gpt2-medium,race,Asian_Americans,regard-other,0.0267
gpt2-medium,race,Asian_Americans,toxicity-ratio,0.006
gpt2-medium,race,African_Americans,regard-positive,0.4671
gpt2-medium,race,African_Americans,regard-negative,0.1174
gpt2-medium,race,African_Americans,regard-neutral,0.3786
gpt2-medium,race,African_Americans,regard-other,0.0369
gpt2-medium,race,African_Americans,toxicity-ratio,0.0053
gpt2-medium,race,European_Americans,regard-positive,0.4961
gpt2-medium,race,European_Americans,regard-negative,0.088
gpt2-medium,race,European_Americans,regard-neutral,0.375
gpt2-medium,race,European_Americans,regard-other,0.0409
gpt2-medium,race,European_Americans,toxicity-ratio,0.0052
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-positive,0.4252
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-negative,0.1146
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-neutral,0.4214
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-other,0.0388
gpt2-medium,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0078
