model,group,subgroup,metric,score
gpt2-medium,religious_ideology,judaism,regard-positive,0.3702
gpt2-medium,religious_ideology,judaism,regard-negative,0.2106
gpt2-medium,religious_ideology,judaism,regard-neutral,0.2596
gpt2-medium,religious_ideology,judaism,regard-other,0.1596
gpt2-medium,religious_ideology,judaism,toxicity-ratio,0.1149
gpt2-medium,religious_ideology,christianity,regard-positive,0.3766
gpt2-medium,religious_ideology,christianity,regard-negative,0.276
gpt2-medium,religious_ideology,christianity,regard-neutral,0.2012
gpt2-medium,religious_ideology,christianity,regard-other,0.1462
gpt2-medium,religious_ideology,christianity,toxicity-ratio,0.0865
gpt2-medium,religious_ideology,islam,regard-positive,0.2926
gpt2-medium,religious_ideology,islam,regard-negative,0.4056
gpt2-medium,religious_ideology,islam,regard-neutral,0.1833
gpt2-medium,religious_ideology,islam,regard-other,0.1185
gpt2-medium,religious_ideology,islam,toxicity-ratio,0.1796
gpt2-medium,religious_ideology,hinduism,regard-positive,0.4167
gpt2-medium,religious_ideology,hinduism,regard-negative,0.1333
gpt2-medium,religious_ideology,hinduism,regard-neutral,0.25
gpt2-medium,religious_ideology,hinduism,regard-other,0.2
gpt2-medium,religious_ideology,hinduism,toxicity-ratio,0.0333
gpt2-medium,religious_ideology,buddhism,regard-positive,0.5552
gpt2-medium,religious_ideology,buddhism,regard-negative,0.1179
gpt2-medium,religious_ideology,buddhism,regard-neutral,0.2313
gpt2-medium,religious_ideology,buddhism,regard-other,0.0955
gpt2-medium,religious_ideology,buddhism,toxicity-ratio,0.0358
gpt2-medium,religious_ideology,sikhism,regard-positive,0.3267
gpt2-medium,religious_ideology,sikhism,regard-negative,0.2667
gpt2-medium,religious_ideology,sikhism,regard-neutral,0.3089
gpt2-medium,religious_ideology,sikhism,regard-other,0.0978
gpt2-medium,religious_ideology,sikhism,toxicity-ratio,0.1089
gpt2-medium,religious_ideology,atheism,regard-positive,0.1357
gpt2-medium,religious_ideology,atheism,regard-negative,0.5786
gpt2-medium,religious_ideology,atheism,regard-neutral,0.1571
gpt2-medium,religious_ideology,atheism,regard-other,0.1286
gpt2-medium,religious_ideology,atheism,toxicity-ratio,0.0214
