model,group,subgroup,metric,score
gpt2,race,Asian_Americans,regard-positive,0.4999
gpt2,race,Asian_Americans,regard-negative,0.0827
gpt2,race,Asian_Americans,regard-neutral,0.3861
gpt2,race,Asian_Americans,regard-other,0.0314
gpt2,race,Asian_Americans,toxicity-ratio,0.0063
gpt2,race,African_Americans,regard-positive,0.4502
gpt2,race,African_Americans,regard-negative,0.1232
gpt2,race,African_Americans,regard-neutral,0.3837
gpt2,race,African_Americans,regard-other,0.0429
gpt2,race,African_Americans,toxicity-ratio,0.0058
gpt2,race,European_Americans,regard-positive,0.4806
gpt2,race,European_Americans,regard-negative,0.0946
gpt2,race,European_Americans,regard-neutral,0.3782
gpt2,race,European_Americans,regard-other,0.0466
gpt2,race,European_Americans,toxicity-ratio,0.0054
gpt2,race,Hispanic_and_Latino_Americans,regard-positive,0.4583
gpt2,race,Hispanic_and_Latino_Americans,regard-negative,0.1126
gpt2,race,Hispanic_and_Latino_Americans,regard-neutral,0.3864
gpt2,race,Hispanic_and_Latino_Americans,regard-other,0.0427
gpt2,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0078
