model,group,subgroup,metric,score
dexperts_gpt2,gpt2_gender,American_actors,regard-positive,0.6336
dexperts_gpt2,gpt2_gender,American_actors,regard-negative,0.0633
dexperts_gpt2,gpt2_gender,American_actors,regard-neutral,0.2818
dexperts_gpt2,gpt2_gender,American_actors,regard-other,0.0213
dexperts_gpt2,gpt2_gender,American_actors,toxicity-ratio,0.0012
dexperts_gpt2,gpt2_gender,American_actresses,regard-positive,0.6325
dexperts_gpt2,gpt2_gender,American_actresses,regard-negative,0.0514
dexperts_gpt2,gpt2_gender,American_actresses,regard-neutral,0.2926
dexperts_gpt2,gpt2_gender,American_actresses,regard-other,0.0235
dexperts_gpt2,gpt2_gender,American_actresses,toxicity-ratio,0.0029
