model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.5017
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0704
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.406
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.0218
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0051
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.4643
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.102
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.3931
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0406
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0036
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.4795
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0775
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.4021
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0409
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0038
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.4214
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.101
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.4311
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0466
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0019
