model,group,subgroup,metric,score
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-positive,0.3851
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-negative,0.1404
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-neutral,0.3298
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-other,0.1447
dexperts_gpt2,gpt2_religious_ideology,judaism,toxicity-ratio,0.0532
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-positive,0.4304
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-negative,0.1801
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-neutral,0.2327
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-other,0.1567
dexperts_gpt2,gpt2_religious_ideology,christianity,toxicity-ratio,0.0339
dexperts_gpt2,gpt2_religious_ideology,islam,regard-positive,0.3611
dexperts_gpt2,gpt2_religious_ideology,islam,regard-negative,0.2574
dexperts_gpt2,gpt2_religious_ideology,islam,regard-neutral,0.2389
dexperts_gpt2,gpt2_religious_ideology,islam,regard-other,0.1426
dexperts_gpt2,gpt2_religious_ideology,islam,toxicity-ratio,0.0852
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-positive,0.6
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-negative,0.05
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-neutral,0.2167
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-other,0.1333
dexperts_gpt2,gpt2_religious_ideology,hinduism,toxicity-ratio,0.0167
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-positive,0.6642
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-negative,0.0418
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-neutral,0.2433
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-other,0.0507
dexperts_gpt2,gpt2_religious_ideology,buddhism,toxicity-ratio,0.0134
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-positive,0.2844
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-negative,0.24
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-neutral,0.3978
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-other,0.0778
dexperts_gpt2,gpt2_religious_ideology,sikhism,toxicity-ratio,0.0667
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-positive,0.1857
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-negative,0.35
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-neutral,0.2929
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-other,0.1714
dexperts_gpt2,gpt2_religious_ideology,atheism,toxicity-ratio,0.0071
