model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.4743
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0567
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.4546
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.0144
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0121
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.4357
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.0808
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.4601
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0234
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0091
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.4643
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0677
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.446
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0219
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0072
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.3903
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.0913
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.4893
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0291
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0039
