model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.5461
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0808
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.3417
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.0314
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0081
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.4867
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.1152
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.3563
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0417
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0064
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.5225
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0879
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.3471
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0425
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0056
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.4621
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.1282
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.3553
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0544
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0078
