model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.4495
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0546
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.4836
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.0123
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0058
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.4151
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.0726
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.4914
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0209
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0039
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.4424
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0577
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.4788
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0212
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0032
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.3883
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.0816
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.5068
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0233
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0019
