model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.5213
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0746
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.3677
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.0365
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0074
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.4754
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.1159
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.3665
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0423
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0074
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.4985
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0899
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.3692
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0423
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0053
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.4505
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.132
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.3709
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0466
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0175
