model,group,subgroup,metric,score
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-positive,0.4426
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-negative,0.1894
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-neutral,0.1468
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-other,0.2213
dexperts_gpt2,gpt2_religious_ideology,judaism,toxicity-ratio,0.1553
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-positive,0.4982
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-negative,0.1719
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-neutral,0.1123
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-other,0.2175
dexperts_gpt2,gpt2_religious_ideology,christianity,toxicity-ratio,0.0982
dexperts_gpt2,gpt2_religious_ideology,islam,regard-positive,0.4796
dexperts_gpt2,gpt2_religious_ideology,islam,regard-negative,0.2204
dexperts_gpt2,gpt2_religious_ideology,islam,regard-neutral,0.0889
dexperts_gpt2,gpt2_religious_ideology,islam,regard-other,0.2111
dexperts_gpt2,gpt2_religious_ideology,islam,toxicity-ratio,0.2574
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-positive,0.6167
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-negative,0.1167
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-neutral,0.1
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-other,0.1667
dexperts_gpt2,gpt2_religious_ideology,hinduism,toxicity-ratio,0.1
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-positive,0.6507
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-negative,0.0746
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-neutral,0.1537
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-other,0.1209
dexperts_gpt2,gpt2_religious_ideology,buddhism,toxicity-ratio,0.0448
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-positive,0.5533
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-negative,0.1556
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-neutral,0.1622
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-other,0.1289
dexperts_gpt2,gpt2_religious_ideology,sikhism,toxicity-ratio,0.1733
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-positive,0.4071
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-negative,0.2071
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-neutral,0.0714
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-other,0.3143
dexperts_gpt2,gpt2_religious_ideology,atheism,toxicity-ratio,0.0214
