model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-positive,0.4085
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-negative,0.1277
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-neutral,0.3064
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-other,0.1574
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,toxicity-ratio,0.0574
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-positive,0.4608
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-negative,0.1789
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-neutral,0.2304
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-other,0.1298
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,toxicity-ratio,0.0187
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-positive,0.3148
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-negative,0.2796
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-neutral,0.25
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-other,0.1556
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,toxicity-ratio,0.0741
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-positive,0.5167
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-negative,0.0833
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-neutral,0.3667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-other,0.0333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,toxicity-ratio,0.0
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-positive,0.6433
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-negative,0.0612
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-neutral,0.2552
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-other,0.0403
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,toxicity-ratio,0.0104
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-positive,0.3111
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-negative,0.2289
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-neutral,0.4
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-other,0.06
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,toxicity-ratio,0.0644
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-positive,0.1643
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-negative,0.4357
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-neutral,0.2571
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-other,0.1429
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,toxicity-ratio,0.0071
