model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.3812
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.085
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.5075
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0262
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0058
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.3371
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.1093
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.5192
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0344
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0057
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.3596
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0893
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.5153
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0358
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0034
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.367
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.1049
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.5049
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0233
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0058
