model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-positive,0.5307
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-negative,0.0366
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-neutral,0.4242
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-other,0.0085
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,toxicity-ratio,0.0031
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-positive,0.5126
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-negative,0.0388
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-neutral,0.4394
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-other,0.0092
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,toxicity-ratio,0.0062
