model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.541
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0839
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.3466
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0286
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0058
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.5
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.1105
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.3494
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0401
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0066
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.5274
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0848
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.3502
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0376
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0044
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.4602
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.1262
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.3689
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0447
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0078
