model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.528
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0657
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.3775
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0288
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0049
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.4988
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.0956
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.3677
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0379
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0051
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.523
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0704
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.3691
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0374
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0048
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.4913
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.1146
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.3592
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.035
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0097
