model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-positive,0.61
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-negative,0.0365
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-neutral,0.344
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-other,0.0095
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,toxicity-ratio,0.0019
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-positive,0.5836
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-negative,0.0304
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-neutral,0.3765
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-other,0.0095
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,toxicity-ratio,0.0026
