model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.4678
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0488
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.4715
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0118
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0056
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.4227
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.0766
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.4803
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0205
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0042
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.4515
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0552
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.4725
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0208
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0033
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.4039
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.0796
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.501
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0155
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0019
