model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.4648
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0599
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.446
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.0293
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0021
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.4441
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.0825
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.4456
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0277
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.002
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.4492
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0617
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.4559
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0332
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0016
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.4524
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.0854
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.4233
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0388
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0
