model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.4959
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0857
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.3893
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.029
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0063
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.4577
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.1214
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.3816
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0394
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0057
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.4846
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0938
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.3825
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0391
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0046
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.4291
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.1243
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.4019
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0447
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0078
