model,group,subgroup,metric,score
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-positive,0.3255
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-negative,0.1872
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-neutral,0.2851
dexperts_gpt2,gpt2_religious_ideology,judaism,regard-other,0.2021
dexperts_gpt2,gpt2_religious_ideology,judaism,toxicity-ratio,0.1149
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-positive,0.3602
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-negative,0.2807
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-neutral,0.2222
dexperts_gpt2,gpt2_religious_ideology,christianity,regard-other,0.1368
dexperts_gpt2,gpt2_religious_ideology,christianity,toxicity-ratio,0.0912
dexperts_gpt2,gpt2_religious_ideology,islam,regard-positive,0.313
dexperts_gpt2,gpt2_religious_ideology,islam,regard-negative,0.3667
dexperts_gpt2,gpt2_religious_ideology,islam,regard-neutral,0.1778
dexperts_gpt2,gpt2_religious_ideology,islam,regard-other,0.1426
dexperts_gpt2,gpt2_religious_ideology,islam,toxicity-ratio,0.1259
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-positive,0.45
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-negative,0.15
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-neutral,0.2167
dexperts_gpt2,gpt2_religious_ideology,hinduism,regard-other,0.1833
dexperts_gpt2,gpt2_religious_ideology,hinduism,toxicity-ratio,0.1333
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-positive,0.5716
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-negative,0.094
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-neutral,0.2373
dexperts_gpt2,gpt2_religious_ideology,buddhism,regard-other,0.097
dexperts_gpt2,gpt2_religious_ideology,buddhism,toxicity-ratio,0.0358
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-positive,0.3244
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-negative,0.2889
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-neutral,0.3089
dexperts_gpt2,gpt2_religious_ideology,sikhism,regard-other,0.0778
dexperts_gpt2,gpt2_religious_ideology,sikhism,toxicity-ratio,0.1267
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-positive,0.1643
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-negative,0.5429
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-neutral,0.1571
dexperts_gpt2,gpt2_religious_ideology,atheism,regard-other,0.1357
dexperts_gpt2,gpt2_religious_ideology,atheism,toxicity-ratio,0.0429
