model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.5075
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0634
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.4012
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0279
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0021
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.4792
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.0921
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.3936
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0351
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0015
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.4916
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.066
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.4075
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0349
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0018
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.4893
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.0932
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.3903
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0272
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0058
