model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-positive,0.6377
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-negative,0.044
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-neutral,0.2995
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,regard-other,0.0187
dexperts_gpt2-medium,gpt2-medium_gender,American_actors,toxicity-ratio,0.0004
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-positive,0.6336
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-negative,0.0388
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-neutral,0.3116
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,regard-other,0.0161
dexperts_gpt2-medium,gpt2-medium_gender,American_actresses,toxicity-ratio,0.001
