model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.4453
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0553
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.4815
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0179
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0098
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.4156
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.093
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.4697
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0217
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0113
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.4517
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0691
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.4584
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0207
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.008
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.3786
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.0932
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.5146
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0136
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0136
