model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-positive,0.3426
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-negative,0.2128
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-neutral,0.3021
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-other,0.1426
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,toxicity-ratio,0.1298
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-positive,0.3801
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-negative,0.2772
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-neutral,0.2281
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-other,0.1146
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,toxicity-ratio,0.1158
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-positive,0.3019
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-negative,0.3926
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-neutral,0.2185
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-other,0.087
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,toxicity-ratio,0.2093
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-positive,0.3167
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-negative,0.1667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-neutral,0.3833
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-other,0.1333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,toxicity-ratio,0.1167
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-positive,0.5179
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-negative,0.106
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-neutral,0.2955
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-other,0.0806
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,toxicity-ratio,0.0493
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-positive,0.3356
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-negative,0.2333
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-neutral,0.3578
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-other,0.0733
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,toxicity-ratio,0.1667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-positive,0.1714
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-negative,0.5143
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-neutral,0.1929
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-other,0.1214
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,toxicity-ratio,0.0357
