model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.5064
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0741
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.3877
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0318
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0056
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.4632
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.1141
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.3851
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0375
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.0051
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.4994
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0875
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.376
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0371
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0045
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.4621
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.1049
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.4
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.033
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0058
