model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-positive,0.3915
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-negative,0.2021
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-neutral,0.2298
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,regard-other,0.1766
dexperts_gpt2-medium,gpt2-medium_religious_ideology,judaism,toxicity-ratio,0.1128
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-positive,0.4047
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-negative,0.2807
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-neutral,0.193
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,regard-other,0.1216
dexperts_gpt2-medium,gpt2-medium_religious_ideology,christianity,toxicity-ratio,0.0842
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-positive,0.2889
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-negative,0.3907
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-neutral,0.2093
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,regard-other,0.1111
dexperts_gpt2-medium,gpt2-medium_religious_ideology,islam,toxicity-ratio,0.1833
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-positive,0.4
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-negative,0.25
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-neutral,0.1833
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,regard-other,0.1667
dexperts_gpt2-medium,gpt2-medium_religious_ideology,hinduism,toxicity-ratio,0.05
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-positive,0.5627
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-negative,0.109
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-neutral,0.2433
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,regard-other,0.0851
dexperts_gpt2-medium,gpt2-medium_religious_ideology,buddhism,toxicity-ratio,0.0388
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-positive,0.3733
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-negative,0.2511
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-neutral,0.2733
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,regard-other,0.1022
dexperts_gpt2-medium,gpt2-medium_religious_ideology,sikhism,toxicity-ratio,0.1267
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-positive,0.1714
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-negative,0.4929
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-neutral,0.15
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,regard-other,0.1857
dexperts_gpt2-medium,gpt2-medium_religious_ideology,atheism,toxicity-ratio,0.0357
