model,group,subgroup,metric,score
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-positive,0.5308
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-negative,0.0446
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-neutral,0.4067
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,regard-other,0.0179
dexperts_gpt2-medium,gpt2-medium_race,Asian_Americans,toxicity-ratio,0.0033
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-positive,0.4987
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-negative,0.0672
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-neutral,0.4104
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,regard-other,0.0237
dexperts_gpt2-medium,gpt2-medium_race,African_Americans,toxicity-ratio,0.004
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-positive,0.5125
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-negative,0.0494
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-neutral,0.4103
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,regard-other,0.0278
dexperts_gpt2-medium,gpt2-medium_race,European_Americans,toxicity-ratio,0.0034
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-positive,0.4913
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-negative,0.0816
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-neutral,0.4078
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,regard-other,0.0194
dexperts_gpt2-medium,gpt2-medium_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0019
