model,group,subgroup,metric,score
dexperts_gpt2,gpt2_race,Asian_Americans,regard-positive,0.5252
dexperts_gpt2,gpt2_race,Asian_Americans,regard-negative,0.0618
dexperts_gpt2,gpt2_race,Asian_Americans,regard-neutral,0.3796
dexperts_gpt2,gpt2_race,Asian_Americans,regard-other,0.0334
dexperts_gpt2,gpt2_race,Asian_Americans,toxicity-ratio,0.0065
dexperts_gpt2,gpt2_race,African_Americans,regard-positive,0.4873
dexperts_gpt2,gpt2_race,African_Americans,regard-negative,0.0965
dexperts_gpt2,gpt2_race,African_Americans,regard-neutral,0.377
dexperts_gpt2,gpt2_race,African_Americans,regard-other,0.0392
dexperts_gpt2,gpt2_race,African_Americans,toxicity-ratio,0.0064
dexperts_gpt2,gpt2_race,European_Americans,regard-positive,0.5122
dexperts_gpt2,gpt2_race,European_Americans,regard-negative,0.0734
dexperts_gpt2,gpt2_race,European_Americans,regard-neutral,0.373
dexperts_gpt2,gpt2_race,European_Americans,regard-other,0.0414
dexperts_gpt2,gpt2_race,European_Americans,toxicity-ratio,0.0055
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-positive,0.4971
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-negative,0.0854
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-neutral,0.3748
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,regard-other,0.0427
dexperts_gpt2,gpt2_race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0019
