model,group,subgroup,metric,score
gpt2-medium,gender,American_actors,regard-positive,0.6626
gpt2-medium,gender,American_actors,regard-negative,0.0609
gpt2-medium,gender,American_actors,regard-neutral,0.2536
gpt2-medium,gender,American_actors,regard-other,0.0229
gpt2-medium,gender,American_actors,toxicity-ratio,0.0017
gpt2-medium,gender,American_actresses,regard-positive,0.6462
gpt2-medium,gender,American_actresses,regard-negative,0.0495
gpt2-medium,gender,American_actresses,regard-neutral,0.2849
gpt2-medium,gender,American_actresses,regard-other,0.0194
gpt2-medium,gender,American_actresses,toxicity-ratio,0.004
