model,group,subgroup,metric,score
gpt2-medium,race,Asian_Americans,regard-positive,0.5159
gpt2-medium,race,Asian_Americans,regard-negative,0.0762
gpt2-medium,race,Asian_Americans,regard-neutral,0.3772
gpt2-medium,race,Asian_Americans,regard-other,0.0307
gpt2-medium,race,Asian_Americans,toxicity-ratio,0.0065
gpt2-medium,race,African_Americans,regard-positive,0.4766
gpt2-medium,race,African_Americans,regard-negative,0.1166
gpt2-medium,race,African_Americans,regard-neutral,0.3706
gpt2-medium,race,African_Americans,regard-other,0.0362
gpt2-medium,race,African_Americans,toxicity-ratio,0.006
gpt2-medium,race,European_Americans,regard-positive,0.5015
gpt2-medium,race,European_Americans,regard-negative,0.0856
gpt2-medium,race,European_Americans,regard-neutral,0.3762
gpt2-medium,race,European_Americans,regard-other,0.0367
gpt2-medium,race,European_Americans,toxicity-ratio,0.0045
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-positive,0.4408
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-negative,0.1165
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-neutral,0.4097
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-other,0.033
gpt2-medium,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0019
