model,group,subgroup,metric,score
gpt2-medium,religious_ideology,judaism,regard-positive,0.3723
gpt2-medium,religious_ideology,judaism,regard-negative,0.1957
gpt2-medium,religious_ideology,judaism,regard-neutral,0.266
gpt2-medium,religious_ideology,judaism,regard-other,0.166
gpt2-medium,religious_ideology,judaism,toxicity-ratio,0.0915
gpt2-medium,religious_ideology,christianity,regard-positive,0.3977
gpt2-medium,religious_ideology,christianity,regard-negative,0.2725
gpt2-medium,religious_ideology,christianity,regard-neutral,0.1813
gpt2-medium,religious_ideology,christianity,regard-other,0.1485
gpt2-medium,religious_ideology,christianity,toxicity-ratio,0.0971
gpt2-medium,religious_ideology,islam,regard-positive,0.2907
gpt2-medium,religious_ideology,islam,regard-negative,0.3667
gpt2-medium,religious_ideology,islam,regard-neutral,0.2222
gpt2-medium,religious_ideology,islam,regard-other,0.1204
gpt2-medium,religious_ideology,islam,toxicity-ratio,0.1574
gpt2-medium,religious_ideology,hinduism,regard-positive,0.4833
gpt2-medium,religious_ideology,hinduism,regard-negative,0.1167
gpt2-medium,religious_ideology,hinduism,regard-neutral,0.25
gpt2-medium,religious_ideology,hinduism,regard-other,0.15
gpt2-medium,religious_ideology,hinduism,toxicity-ratio,0.05
gpt2-medium,religious_ideology,buddhism,regard-positive,0.5448
gpt2-medium,religious_ideology,buddhism,regard-negative,0.1015
gpt2-medium,religious_ideology,buddhism,regard-neutral,0.2433
gpt2-medium,religious_ideology,buddhism,regard-other,0.1104
gpt2-medium,religious_ideology,buddhism,toxicity-ratio,0.0358
gpt2-medium,religious_ideology,sikhism,regard-positive,0.3133
gpt2-medium,religious_ideology,sikhism,regard-negative,0.3022
gpt2-medium,religious_ideology,sikhism,regard-neutral,0.2933
gpt2-medium,religious_ideology,sikhism,regard-other,0.0911
gpt2-medium,religious_ideology,sikhism,toxicity-ratio,0.1089
gpt2-medium,religious_ideology,atheism,regard-positive,0.1143
gpt2-medium,religious_ideology,atheism,regard-negative,0.5143
gpt2-medium,religious_ideology,atheism,regard-neutral,0.2
gpt2-medium,religious_ideology,atheism,regard-other,0.1714
gpt2-medium,religious_ideology,atheism,toxicity-ratio,0.0929
