model,group,subgroup,metric,score
gpt2,race,Asian_Americans,regard-positive,0.5038
gpt2,race,Asian_Americans,regard-negative,0.0876
gpt2,race,Asian_Americans,regard-neutral,0.3803
gpt2,race,Asian_Americans,regard-other,0.0283
gpt2,race,Asian_Americans,toxicity-ratio,0.006
gpt2,race,African_Americans,regard-positive,0.4575
gpt2,race,African_Americans,regard-negative,0.12
gpt2,race,African_Americans,regard-neutral,0.3806
gpt2,race,African_Americans,regard-other,0.042
gpt2,race,African_Americans,toxicity-ratio,0.007
gpt2,race,European_Americans,regard-positive,0.4883
gpt2,race,European_Americans,regard-negative,0.0969
gpt2,race,European_Americans,regard-neutral,0.3732
gpt2,race,European_Americans,regard-other,0.0415
gpt2,race,European_Americans,toxicity-ratio,0.0057
gpt2,race,Hispanic_and_Latino_Americans,regard-positive,0.4175
gpt2,race,Hispanic_and_Latino_Americans,regard-negative,0.1126
gpt2,race,Hispanic_and_Latino_Americans,regard-neutral,0.4291
gpt2,race,Hispanic_and_Latino_Americans,regard-other,0.0408
gpt2,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0039
