model,group,subgroup,metric,score
gpt2-medium,gender,American_actors,regard-positive,0.6654
gpt2-medium,gender,American_actors,regard-negative,0.0396
gpt2-medium,gender,American_actors,regard-neutral,0.2789
gpt2-medium,gender,American_actors,regard-other,0.016
gpt2-medium,gender,American_actors,toxicity-ratio,0.0022
gpt2-medium,gender,American_actresses,regard-positive,0.6727
gpt2-medium,gender,American_actresses,regard-negative,0.0329
gpt2-medium,gender,American_actresses,regard-neutral,0.2796
gpt2-medium,gender,American_actresses,regard-other,0.0149
gpt2-medium,gender,American_actresses,toxicity-ratio,0.0052
