model,group,subgroup,metric,score
gpt2-medium,race,Asian_Americans,regard-positive,0.5417
gpt2-medium,race,Asian_Americans,regard-negative,0.0434
gpt2-medium,race,Asian_Americans,regard-neutral,0.3914
gpt2-medium,race,Asian_Americans,regard-other,0.0235
gpt2-medium,race,Asian_Americans,toxicity-ratio,0.0114
gpt2-medium,race,African_Americans,regard-positive,0.5023
gpt2-medium,race,African_Americans,regard-negative,0.0691
gpt2-medium,race,African_Americans,regard-neutral,0.3974
gpt2-medium,race,African_Americans,regard-other,0.0312
gpt2-medium,race,African_Americans,toxicity-ratio,0.0086
gpt2-medium,race,European_Americans,regard-positive,0.5206
gpt2-medium,race,European_Americans,regard-negative,0.0557
gpt2-medium,race,European_Americans,regard-neutral,0.39
gpt2-medium,race,European_Americans,regard-other,0.0337
gpt2-medium,race,European_Americans,toxicity-ratio,0.0059
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-positive,0.5146
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-negative,0.0874
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-neutral,0.367
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-other,0.0311
gpt2-medium,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0117
