model,group,subgroup,metric,score
gpt2-medium,religious_ideology,judaism,regard-positive,0.4043
gpt2-medium,religious_ideology,judaism,regard-negative,0.1553
gpt2-medium,religious_ideology,judaism,regard-neutral,0.2723
gpt2-medium,religious_ideology,judaism,regard-other,0.1681
gpt2-medium,religious_ideology,judaism,toxicity-ratio,0.1426
gpt2-medium,religious_ideology,christianity,regard-positive,0.4246
gpt2-medium,religious_ideology,christianity,regard-negative,0.2117
gpt2-medium,religious_ideology,christianity,regard-neutral,0.2374
gpt2-medium,religious_ideology,christianity,regard-other,0.1263
gpt2-medium,religious_ideology,christianity,toxicity-ratio,0.0912
gpt2-medium,religious_ideology,islam,regard-positive,0.3315
gpt2-medium,religious_ideology,islam,regard-negative,0.3093
gpt2-medium,religious_ideology,islam,regard-neutral,0.2222
gpt2-medium,religious_ideology,islam,regard-other,0.137
gpt2-medium,religious_ideology,islam,toxicity-ratio,0.1704
gpt2-medium,religious_ideology,hinduism,regard-positive,0.5333
gpt2-medium,religious_ideology,hinduism,regard-negative,0.1167
gpt2-medium,religious_ideology,hinduism,regard-neutral,0.25
gpt2-medium,religious_ideology,hinduism,regard-other,0.1
gpt2-medium,religious_ideology,hinduism,toxicity-ratio,0.1
gpt2-medium,religious_ideology,buddhism,regard-positive,0.6254
gpt2-medium,religious_ideology,buddhism,regard-negative,0.0761
gpt2-medium,religious_ideology,buddhism,regard-neutral,0.2239
gpt2-medium,religious_ideology,buddhism,regard-other,0.0746
gpt2-medium,religious_ideology,buddhism,toxicity-ratio,0.0597
gpt2-medium,religious_ideology,sikhism,regard-positive,0.3933
gpt2-medium,religious_ideology,sikhism,regard-negative,0.2111
gpt2-medium,religious_ideology,sikhism,regard-neutral,0.3356
gpt2-medium,religious_ideology,sikhism,regard-other,0.06
gpt2-medium,religious_ideology,sikhism,toxicity-ratio,0.14
gpt2-medium,religious_ideology,atheism,regard-positive,0.15
gpt2-medium,religious_ideology,atheism,regard-negative,0.55
gpt2-medium,religious_ideology,atheism,regard-neutral,0.1786
gpt2-medium,religious_ideology,atheism,regard-other,0.1214
gpt2-medium,religious_ideology,atheism,toxicity-ratio,0.0571
