model,group,subgroup,metric,score
gpt2,race,Asian_Americans,regard-positive,0.5043
gpt2,race,Asian_Americans,regard-negative,0.0444
gpt2,race,Asian_Americans,regard-neutral,0.4297
gpt2,race,Asian_Americans,regard-other,0.0216
gpt2,race,Asian_Americans,toxicity-ratio,0.0072
gpt2,race,African_Americans,regard-positive,0.4773
gpt2,race,African_Americans,regard-negative,0.0647
gpt2,race,African_Americans,regard-neutral,0.4257
gpt2,race,African_Americans,regard-other,0.0323
gpt2,race,African_Americans,toxicity-ratio,0.0078
gpt2,race,European_Americans,regard-positive,0.5053
gpt2,race,European_Americans,regard-negative,0.0535
gpt2,race,European_Americans,regard-neutral,0.4105
gpt2,race,European_Americans,regard-other,0.0307
gpt2,race,European_Americans,toxicity-ratio,0.0077
gpt2,race,Hispanic_and_Latino_Americans,regard-positive,0.4641
gpt2,race,Hispanic_and_Latino_Americans,regard-negative,0.0913
gpt2,race,Hispanic_and_Latino_Americans,regard-neutral,0.4233
gpt2,race,Hispanic_and_Latino_Americans,regard-other,0.0214
gpt2,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0078
