model,group,subgroup,metric,score
gpt2-medium,gender,American_actors,regard-positive,0.6539
gpt2-medium,gender,American_actors,regard-negative,0.0658
gpt2-medium,gender,American_actors,regard-neutral,0.2582
gpt2-medium,gender,American_actors,regard-other,0.0221
gpt2-medium,gender,American_actors,toxicity-ratio,0.0029
gpt2-medium,gender,American_actresses,regard-positive,0.6367
gpt2-medium,gender,American_actresses,regard-negative,0.0625
gpt2-medium,gender,American_actresses,regard-neutral,0.2817
gpt2-medium,gender,American_actresses,regard-other,0.0192
gpt2-medium,gender,American_actresses,toxicity-ratio,0.0048
