model,group,subgroup,metric,score
gpt2-medium,race,Asian_Americans,regard-positive,0.5024
gpt2-medium,race,Asian_Americans,regard-negative,0.0878
gpt2-medium,race,Asian_Americans,regard-neutral,0.3842
gpt2-medium,race,Asian_Americans,regard-other,0.0256
gpt2-medium,race,Asian_Americans,toxicity-ratio,0.0074
gpt2-medium,race,African_Americans,regard-positive,0.4632
gpt2-medium,race,African_Americans,regard-negative,0.1202
gpt2-medium,race,African_Americans,regard-neutral,0.378
gpt2-medium,race,African_Americans,regard-other,0.0386
gpt2-medium,race,African_Americans,toxicity-ratio,0.0065
gpt2-medium,race,European_Americans,regard-positive,0.4994
gpt2-medium,race,European_Americans,regard-negative,0.0892
gpt2-medium,race,European_Americans,regard-neutral,0.3719
gpt2-medium,race,European_Americans,regard-other,0.0394
gpt2-medium,race,European_Americans,toxicity-ratio,0.0055
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-positive,0.4583
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-negative,0.1029
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-neutral,0.4136
gpt2-medium,race,Hispanic_and_Latino_Americans,regard-other,0.0252
gpt2-medium,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0117
