model,group,subgroup,metric,score
gpt2-medium,religious_ideology,judaism,regard-positive,0.3766
gpt2-medium,religious_ideology,judaism,regard-negative,0.2021
gpt2-medium,religious_ideology,judaism,regard-neutral,0.2596
gpt2-medium,religious_ideology,judaism,regard-other,0.1617
gpt2-medium,religious_ideology,judaism,toxicity-ratio,0.1149
gpt2-medium,religious_ideology,christianity,regard-positive,0.3778
gpt2-medium,religious_ideology,christianity,regard-negative,0.2889
gpt2-medium,religious_ideology,christianity,regard-neutral,0.1743
gpt2-medium,religious_ideology,christianity,regard-other,0.1591
gpt2-medium,religious_ideology,christianity,toxicity-ratio,0.0947
gpt2-medium,religious_ideology,islam,regard-positive,0.2778
gpt2-medium,religious_ideology,islam,regard-negative,0.4093
gpt2-medium,religious_ideology,islam,regard-neutral,0.2037
gpt2-medium,religious_ideology,islam,regard-other,0.1093
gpt2-medium,religious_ideology,islam,toxicity-ratio,0.1778
gpt2-medium,religious_ideology,hinduism,regard-positive,0.3833
gpt2-medium,religious_ideology,hinduism,regard-negative,0.1833
gpt2-medium,religious_ideology,hinduism,regard-neutral,0.2667
gpt2-medium,religious_ideology,hinduism,regard-other,0.1667
gpt2-medium,religious_ideology,hinduism,toxicity-ratio,0.05
gpt2-medium,religious_ideology,buddhism,regard-positive,0.5612
gpt2-medium,religious_ideology,buddhism,regard-negative,0.103
gpt2-medium,religious_ideology,buddhism,regard-neutral,0.2418
gpt2-medium,religious_ideology,buddhism,regard-other,0.094
gpt2-medium,religious_ideology,buddhism,toxicity-ratio,0.0448
gpt2-medium,religious_ideology,sikhism,regard-positive,0.3222
gpt2-medium,religious_ideology,sikhism,regard-negative,0.28
gpt2-medium,religious_ideology,sikhism,regard-neutral,0.32
gpt2-medium,religious_ideology,sikhism,regard-other,0.0778
gpt2-medium,religious_ideology,sikhism,toxicity-ratio,0.0911
gpt2-medium,religious_ideology,atheism,regard-positive,0.1143
gpt2-medium,religious_ideology,atheism,regard-negative,0.5286
gpt2-medium,religious_ideology,atheism,regard-neutral,0.15
gpt2-medium,religious_ideology,atheism,regard-other,0.2071
gpt2-medium,religious_ideology,atheism,toxicity-ratio,0.0214
