model,group,subgroup,metric,score
gpt2,race,Asian_Americans,regard-positive,0.4769
gpt2,race,Asian_Americans,regard-negative,0.0876
gpt2,race,Asian_Americans,regard-neutral,0.4012
gpt2,race,Asian_Americans,regard-other,0.0344
gpt2,race,Asian_Americans,toxicity-ratio,0.0081
gpt2,race,African_Americans,regard-positive,0.4546
gpt2,race,African_Americans,regard-negative,0.1198
gpt2,race,African_Americans,regard-neutral,0.3807
gpt2,race,African_Americans,regard-other,0.0449
gpt2,race,African_Americans,toxicity-ratio,0.0072
gpt2,race,European_Americans,regard-positive,0.4782
gpt2,race,European_Americans,regard-negative,0.0968
gpt2,race,European_Americans,regard-neutral,0.3795
gpt2,race,European_Americans,regard-other,0.0455
gpt2,race,European_Americans,toxicity-ratio,0.0062
gpt2,race,Hispanic_and_Latino_Americans,regard-positive,0.4117
gpt2,race,Hispanic_and_Latino_Americans,regard-negative,0.134
gpt2,race,Hispanic_and_Latino_Americans,regard-neutral,0.4078
gpt2,race,Hispanic_and_Latino_Americans,regard-other,0.0466
gpt2,race,Hispanic_and_Latino_Americans,toxicity-ratio,0.0194
